"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""Callback.visit""|""relative:///src/com/google/javascript/jscomp/NodeTraversal.java:101:10:101:14""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AliasExternals.java","472","17","472","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""Callback.visit""|""relative:///src/com/google/javascript/jscomp/NodeTraversal.java:101:10:101:14""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AliasExternals.java","624","17","624","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""Callback.visit""|""relative:///src/com/google/javascript/jscomp/NodeTraversal.java:101:10:101:14""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AliasExternals.java","645","17","645","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""Callback.visit""|""relative:///src/com/google/javascript/jscomp/NodeTraversal.java:101:10:101:14""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AliasExternals.java","491","17","491","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""CompilerPass.process""|""relative:///src/com/google/javascript/jscomp/CompilerPass.java:40:8:40:14""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AliasExternals.java","210","15","210","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""CompilerPass.process""|""relative:///src/com/google/javascript/jscomp/CompilerPass.java:40:8:40:14""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AliasKeywords.java","320","15","320","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""Callback.visit""|""relative:///src/com/google/javascript/jscomp/NodeTraversal.java:101:10:101:14""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AmbiguateProperties.java","447","17","447","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""AdjacencyGraph<Property,Void>.getWeight""|""file:///root/fky/DHPNpr/Defects4J_projects/Closure_86/build/classes/com/google/javascript/jscomp/graph/AdjacencyGraph.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AmbiguateProperties.java","370","16","370","24"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""AdjacencyGraph<Property,Void>.clearNodeAnnotations""|""file:///root/fky/DHPNpr/Defects4J_projects/Closure_86/build/classes/com/google/javascript/jscomp/graph/AdjacencyGraph.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AmbiguateProperties.java","364","17","364","36"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""AdjacencyGraph<Property,Void>.newSubGraph""|""file:///root/fky/DHPNpr/Defects4J_projects/Closure_86/build/classes/com/google/javascript/jscomp/graph/AdjacencyGraph.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AmbiguateProperties.java","360","37","360","47"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""AdjacencyGraph<Property,Void>.getNode""|""file:///root/fky/DHPNpr/Defects4J_projects/Closure_86/build/classes/com/google/javascript/jscomp/graph/AdjacencyGraph.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AmbiguateProperties.java","356","38","356","44"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""AdjacencyGraph<Property,Void>.getNodes""|""file:///root/fky/DHPNpr/Defects4J_projects/Closure_86/build/classes/com/google/javascript/jscomp/graph/AdjacencyGraph.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AmbiguateProperties.java","352","44","352","51"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""Annotatable.setAnnotation""|""relative:///src/com/google/javascript/jscomp/graph/Annotatable.java:29:8:29:20""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AmbiguateProperties.java","418","17","418","29"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""Annotatable.getAnnotation""|""relative:///src/com/google/javascript/jscomp/graph/Annotatable.java:37:28:37:40""]]; it is advisable to add an Override annotation.","/src/com/google/javascript/jscomp/AmbiguateProperties.java","414","37","414","49"
